id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
2887, ,,0,1,0,19,0,19,0,-19,2026-02-17T18:02:59.718311,,
2888,0101,VD DRAAD 1.5 mm  ZWART,313,2,313,0,0,313,382,69,2026-02-17T18:02:59.718311,,
2889,0102,VD DRAAD 2.5 mm  BRUIN,20,2,20,426,0,446,460,14,2026-02-17T18:02:59.718311,,
2890,0103,VD DRAAD 2.5 mm  BLAUW,507,2,507,0,0,507,462,-45,2026-02-17T18:02:59.718311,,
2891,0104,VD DRAAD 2.5 mm  GR/GL,20,1,20,280,0,300,483,183,2026-02-17T18:02:59.718311,,
2892,0107,VD DRAAD  4  mm  GL/GR,0,0,0,200,0,200,330,130,2026-02-17T18:02:59.718311,,
2893,0108,VD DRAAD  6  mm  ZWART,0,0,0,300,0,300,236,-64,2026-02-17T18:02:59.718311,,
2894,0109,VD DRAAD  6  mm  BLAUW,0,0,0,500,0,500,499,-1,2026-02-17T18:02:59.718311,,
2895,0110,VD DRAAD  6  mm  GR/GL,0,0,0,300,0,300,269,-31,2026-02-17T18:02:59.718311,,
2896,0111,VD DRAAD 10  mm  ZWART,0,0,0,100,0,100,279,179,2026-02-17T18:02:59.718311,,
2897,0112,VD DRAAD 10  mm  BLAUW,0,0,0,100,0,100,100,0,2026-02-17T18:02:59.718311,,
2898,0115,VD DRAAD 16  mm  BLAUW,0,0,0,400,0,400,585,185,2026-02-17T18:02:59.718311,,
2899,0116,VD DRAAD 16  mm  GR/GL,0,0,0,100,0,100,74,-26,2026-02-17T18:02:59.718311,,
2900,0117,VD DRAAD 25  mm  ZWART,0,0,0,600,0,600,700,100,2026-02-17T18:02:59.718311,,
2901,0118,VD DRAAD 25  mm  BLAUW,0,0,0,600,0,600,800,200,2026-02-17T18:02:59.718311,,
2902,0119,VD DRAAD 25  mm  GR/GL,0,0,0,100,0,100,0,-100,2026-02-17T18:02:59.718311,,
2903,0130,VDS DRAAD FLEX  1.5mm ZWART,0,0,0,400,0,400,98,-302,2026-02-17T18:02:59.718311,,
2904,0131,VDS DRAAD FLEX  1.5 mm BLAUW,0,0,0,100,0,100,401,301,2026-02-17T18:02:59.718311,,
2905,0132,VDS DRAAD FLEX  1.5 mm GR/GL,0,0,0,400,0,400,348,-52,2026-02-17T18:02:59.718311,,
2906,0137,VDS DRAAD FLEX 10 mm ZWART,0,0,0,200,0,200,358,158,2026-02-17T18:02:59.718311,,
2907,0138,VDS DRAAD FLEX 10 mm BLAUW,0,0,0,700,0,700,801,101,2026-02-17T18:02:59.718311,,
2908,0140,VDS DRAAD FLEX 16 mm BLAUW,0,0,0,300,0,300,351,51,2026-02-17T18:02:59.718311,,
2909,0141,VDS DRAAD FLEX 16mm GR/GL,0,0,0,100,0,100,124,24,2026-02-17T18:02:59.718311,,
2910,0142,VDS DRAAD FLEX 25 mm ZWART,0,0,0,300,0,300,376,76,2026-02-17T18:02:59.718311,,
2911,0143,VDS DRAAD FLEX 25 mm BLAUW,0,0,0,100,0,100,207,107,2026-02-17T18:02:59.718311,,
2912,0144,VDS DRAAD FLEX 25 mm GR/GL-K,0,0,0,100,0,100,232,132,2026-02-17T18:02:59.718311,,
2913,0145,VDS DRAAD FLEX 35 mm ZWART,0,0,0,200,0,200,221,21,2026-02-17T18:02:59.718311,,
2914,0146,VDS DRAAD FLEX 35 mm BLAUW,0,0,0,200,0,200,289,89,2026-02-17T18:02:59.718311,,
2915,0147,VDS DRAAD FLEX 35 mm GR/GL,0,0,0,100,0,100,359,259,2026-02-17T18:02:59.718311,,
2916,0148,VDS DRAAD FLEX 50 mm ZWART,0,0,0,100,0,100,119,19,2026-02-17T18:02:59.718311,,
2917,0149,VDS DRAAD FLEX 2.5mm ZWART,0,0,0,300,0,300,389,89,2026-02-17T18:02:59.718311,,
2918,0150,VDS DRAAD FLEX 2.5mm BLAUW,0,0,0,300,0,300,436,136,2026-02-17T18:02:59.718311,,
2919,0153,VDS DRAAD FLEX 4mm BLAUW,0,0,0,800,0,800,1156,356,2026-02-17T18:02:59.718311,,
2920,0154,VDS DRAAD FLEX 4mm GR/GL,0,0,0,1400,0,1400,1254,-146,2026-02-17T18:02:59.718311,,
2921,0155,VDS DRAAD FLEX 2.5mm ROOD,0,0,0,300,0,300,290,-10,2026-02-17T18:02:59.718311,,
2922,0159,VDS H07V-K FLEX 50 mm BLAUW,0,0,0,200,0,200,184,-16,2026-02-17T18:02:59.718311,,
2923,01??,,0,1,0,280,0,280,0,-280,2026-02-17T18:02:59.718311,,
2924,0201,KABEL YMvK 3G2.5mm rol/100mtr,11,1,11,0,0,11,4,-7,2026-02-17T18:02:59.718311,,
2925,0245,VMVL  H05 V V-F 2x0.75  mm,0,0,0,500,0,500,1075,575,2026-02-17T18:02:59.718311,,
2926,0247,VMvL H05 V V-F 2x1.5   mm,0,0,0,400,0,400,2432,2032,2026-02-17T18:02:59.718311,,
2927,0250,VMvL H05 V V-F 4G2.5   mm,0,0,0,700,0,700,796,96,2026-02-17T18:02:59.718311,,
2928,02501,VMvL H05 V V-F 5G2.5   mm,0,0,0,500,0,500,490,-10,2026-02-17T18:02:59.718311,,
2929,0262,COAX RG6 60% 18AWG,10,12,120,0,0,120,765,645,2026-02-17T18:02:59.718311,,
2930,0278,KABELGOOT 100x40 mm,0,1,0,4,0,4,4,0,2026-02-17T18:02:59.718311,,
2931,0284,KABELGOOT 60x40 mm,0,1,0,1,0,1,5,4,2026-02-17T18:02:59.718311,,
2932,0285,KABELGOOT 10x8 mm,0,1,0,113,0,113,317,204,2026-02-17T18:02:59.718311,,
2933,0288,KABELGOOT 70x40 mm,5,1,5,4,0,9,95,86,2026-02-17T18:02:59.718311,,
2934,0289,KABELGOOT 70x60 mm,7,12,84,0,0,84,84,0,2026-02-17T18:02:59.718311,,
2935,0290,KABELGOOT 100x60 mm,2,6,12,1,0,13,48,35,2026-02-17T18:02:59.718311,,
2936,0291,KABELGOOT  DEKSEL70x40 mm,5,18,90,4,0,94,94,0,2026-02-17T18:02:59.718311,,
2937,0292,KABELGOOT DEKSEL 70x60 mm,6,12,72,10,0,82,70,-12,2026-02-17T18:02:59.718311,,
2938,0293,KABELGOOT DEKSEL 100x60 mm,13,6,78,3,0,81,48,-33,2026-02-17T18:02:59.718311,,
2939,0299,WIJMAPLAST 100 gram,0,0,0,15,0,15,15,0,2026-02-17T18:02:59.718311,,
2940,0300,PVC-LIJM 250 ml,0,0,0,29,0,29,10,-19,2026-02-17T18:02:59.718311,,
2941,0305,HOSTALIT MOF 5/8 Grijs,8,50,400,324,0,724,640,-84,2026-02-17T18:02:59.718311,,
