code_item,description_item,current_inventory
0101                ,VD DRAAD 1.5 mm  ZWART        ,0
0102                ,VD DRAAD 2.5 mm  BRUIN        ,0
0103                ,VD DRAAD 2.5 mm  BLAUW        ,0
0104                ,VD DRAAD 2.5 mm  GR/GL        ,0
0106                ,VD DRAAD 2.5 mm  GR/GL        ,0
0107                ,VD DRAAD  4  mm  GL/GR        ,0
0108                ,VD DRAAD  6  mm  ZWART        ,0
0109                ,VD DRAAD  6  mm  BLAUW        ,0
0110                ,VD DRAAD  6  mm  GR/GL        ,0
0111                ,VD DRAAD 10  mm  ZWART        ,0
0112                ,VD DRAAD 10  mm  BLAUW        ,0
0113                ,VD DRAAD 10  mm  GR/GL        ,0
0114                ,VD DRAAD 16  mm  ZWART        ,0
0115                ,VD DRAAD 16  mm  BLAUW        ,0
0116                ,VD DRAAD 16  mm  GR/GL        ,0
0117                ,VD DRAAD 25  mm  ZWART        ,0
0118                ,VD DRAAD 25  mm  BLAUW        ,0
0119                ,VD DRAAD 25  mm  GR/GL        ,0
0124                ,VD DRAAD 35  mm  GR/GL        ,0
0125                ,VD DRAAD 50  mm  GR/GL        ,0
0128                ,VD DRAAD 70  mm  GR/GL        ,0
0129                ,VD DRAAD 95mm H07V-R GR/GL    ,0
0130                ,VDS DRAAD FLEX  1.5mm ZWART   ,0
0131                ,VDS DRAAD FLEX  1.5 mm BLAUW  ,0
0132                ,VDS DRAAD FLEX  1.5 mm GR/GL  ,0
0135                ,VDS DRAAD FLEX  6 mm ZWART    ,0
0136                ,VDS DRAAD FLEX  6 mm BLAUW    ,0
0137                ,VDS DRAAD FLEX 10 mm ZWART    ,0
0138                ,VDS DRAAD FLEX 10 mm BLAUW    ,0
0139                ,VDS DRAAD FLEX 16 mm ZWART    ,0
0140                ,VDS DRAAD FLEX 16 mm BLAUW    ,0
0141                ,VDS DRAAD FLEX 16mm GR/GL     ,0
0142                ,VDS DRAAD FLEX 25 mm ZWART    ,0
0143                ,VDS DRAAD FLEX 25 mm BLAUW    ,0
0144                ,VDS DRAAD FLEX 25 mm GR/GL-K  ,0
0145                ,VDS DRAAD FLEX 35 mm ZWART    ,0
0146                ,VDS DRAAD FLEX 35 mm BLAUW    ,0
0147                ,VDS DRAAD FLEX 35 mm GR/GL    ,0
0148                ,VDS DRAAD FLEX 50 mm ZWART    ,0
0149                ,VDS DRAAD FLEX 2.5mm ZWART    ,0
0150                ,VDS DRAAD FLEX 2.5mm BLAUW    ,0
0151                ,VDS DRAAD FLEX 2.5mm GR/GL    ,0
0152                ,VDS DRAAD FLEX 4mm ZWART      ,0
0153                ,VDS DRAAD FLEX 4mm BLAUW      ,0
0154                ,VDS DRAAD FLEX 4mm GR/GL      ,0
0155                ,VDS DRAAD FLEX 2.5mm ROOD     ,0
0156                ,VDS DRAAD FLEX 95 mm ZWART    ,0
0157                ,VDS DRAAD FLEX 95 mm BLAUW    ,0
0158                ,VDS DRAAD FLEX 95 mm GL/GR    ,0
0159                ,VDS H07V-K FLEX 50 mm BLAUW   ,0
0160                ,"KABEL 1x4x0,8 PP PA dlwd      ",0
0196                ,KABEL RWPK H07RN-F 5X6 mm     ,0
0197                ,KABEL RWPK H07RN-F 4X2.5mm    ,0
0198                ,KABEL RWPK H07RN-F 1X95mm     ,0
0199                ,NYY-J 1x50MM2                 ,0
0200                ,"KABEL YMvK 1x150mm 0,6/1kV    ",0
0201                ,KABEL YMvK 3G2.5mm rol/100mtr ,0
0202                ,KABEL XMVK 3X2.5mm            ,0
0203                ,KABEL YMvK 1x35 mm            ,0
0204                ,KABEL YMvK 1x95 mm            ,0
0205                ,KABEL YMvK 1x120 mm           ,0
0206                ,KABEL YMvK 1x240 mm           ,0
0207                ,KABEL YMvK 1X185 mm           ,0
0208                ,"KABEL YMvK mb 2x2,5 mm        ",0
0209                ,KABEL YMvK 2x4mm              ,0
0210                ,KABEL YMvK 3G2.5 mm           ,0
0211                ,KABEL YMvK 4G2.5 mm           ,0
0212                ,KABEL YMvK 5G2.5 mm           ,0
0213                ,KABEL YMvK 3G 4  mm           ,0
0214                ,KABEL YMvK 4x 4  mm           ,0
02141               ,KABEL YMVK 5G4 mm             ,0
0215                ,KABEL YMvK 4x6  mm            ,0
0216                ,KABEL  YMvK 5G6 mm            ,0
0217                ,KABEL YMvK 4x10  mm           ,0
0218                ,KABEL YMvK 5G10  mm           ,0
0219                ,KABEL YMvK 4x16  mm           ,0
0220                ,KABEL YMvK 5G16  mm           ,0
0221                ,KABEL YMvK 4x25  mm           ,0
0222                ,KABEL YMvK 5G25  mm           ,0
02221               ,KABEL YMvK 5G35mm             ,0
0223                ,KABEL YMvK 4x50  mm           ,0
0224                ,KABEL YMvK 5G50 mm            ,0
0225                ,KABEL YMvK 4x70  mm           ,0
0226                ,KABEL YMvK 4x95 mm            ,0
0227                ,KABEL YMvK 4x35 mm            ,0
02271               ,KABEL YMvK 4G120mm            ,0
0228                ,KABEL YMvK 5X70 mm            ,0
0229                ,KABEL YMvK 5G95 mm            ,0
02290               ,KABEL YMvK 5G150mm            ,0
02291               ,KABEL YMvK 5G120mm            ,0
02292               ,KABEL YMvK 5G185mm            ,0
0230                ,KABEL YMvKAS 3x2.5 mm         ,0
0231                ,KABEL YMvKAS 4x2.5 mm         ,0
02311               ,KABEL YMvKAS 5x2.5 mm         ,0
