counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,4040,1,0,201,0,0,26-01-2026,,1,16,2,100,200,VICTORIA D1
VICTORIA,4042,0,0,240,0,0,26-01-2026,,1,16,24,10,240,VICTORIA D1
VICTORIA,4041,0,0,310,0,0,26-01-2026,,1,16,31,10,310,VICTORIA D1
VICTORIA,4043,0,0,150,0,0,26-01-2026,,1,16,15,10,150,VICTORIA D1
VICTORIA,4050,0,0,30,0,0,26-01-2026,,1,16,3,10,30,VICTORIA D1
VICTORIA,4046,0,0,110,0,0,26-01-2026,,1,16,11,10,110,VICTORIA D1
VICTORIA,4049,0,0,70,0,0,26-01-2026,,1,16,7,10,70,VICTORIA D1
VICTORIA,4047,0,0,70,0,0,26-01-2026,,1,16,7,10,70,VICTORIA D1
VICTORIA,4048,0,0,90,0,0,26-01-2026,,1,16,9,10,90,VICTORIA D1
VICTORIA,4024,0,0,240,0,0,26-01-2026,,1,16,12,20,240,VICTORIA D1
VICTORIA,4035,0,0,40,0,0,26-01-2026,,1,16,4,10,40,VICTORIA D1
VICTORIA,4106,0,0,200,0,0,26-01-2026,,1,27,10,20,200,VICTORIA D1 ***
VICTORIA,4105,0,0,80,0,0,26-01-2026,,1,27,4,20,80,VICTORIA D1 ***
VICTORIA,4103,0,0,36,0,0,26-01-2026,,1,27,18,2,36,VICTORIA D1
VICTORIA,4112,0,0,410,0,0,26-01-2026,,1,27,41,10,410,VICTORIA D1 ***
VICTORIA,4109,0,0,40,0,0,26-01-2026,,1,27,2,20,40,VICTORIA D1 ***
VICTORIA,4116,0,0,50,0,0,26-01-2026,,1,27,5,10,50,VICTORIA D1
VICTORIA,4119,0,0,40,0,0,26-01-2026,,1,27,4,10,40,VICTORIA D1
VICTORIA,4118,0,0,24,0,0,26-01-2026,,1,27,24,1,24,VICTORIA D1 ***
VICTORIA,8021,0,0,3,0,0,26-01-2026,,1,27,3,1,3,VICTORIA D1
VICTORIA,15142,0,0,6,0,0,26-01-2026,,1,27,6,1,6,VICTORIA D1
VICTORIA,3997,0,0,13,0,0,26-01-2026,,1,27,13,1,13,VICTORIA D1
VICTORIA,4209,11,0,107,0,0,26-01-2026,,1,28,6,16,96,VICTORIA D1
VICTORIA,4212,0,0,8,0,0,26-01-2026,,1,28,1,8,8,VICTORIA D1
VICTORIA,4213,0,0,325,0,0,26-01-2026,,1,28,13,25,325,VICTORIA D1
VICTORIA,4260,13,0,13,0,0,26-01-2026,,1,28,0,1,0,VICTORIA D1 CODIGO ??? ***
VICTORIA,4211,0,0,16,0,0,26-01-2026,,1,28,2,8,16,VICTORIA D1 ***
VICTORIA,4210,0,0,50,0,0,26-01-2026,,1,28,5,10,50,VICTORIA D1
VICTORIA,4201,56,0,116,0,0,26-01-2026,,1,28,1,60,60,VICTORIA D1
VICTORIA,4207,6,0,38,0,0,26-01-2026,,1,28,2,16,32,VICTORIA D1
VICTORIA,0288,4,0,9,0,0,26-01-2026,,1,28,5,1,5,VICTORIA D1 ***
VICTORIA,0291,4,0,94,0,0,26-01-2026,,1,28,5,18,90,VICTORIA D1
VICTORIA,0289,0,0,84,0,0,26-01-2026,,1,28,7,12,84,VICTORIA D1
VICTORIA,0292,10,0,82,0,0,26-01-2026,,1,28,6,12,72,VICTORIA D1
VICTORIA,0278,4,0,4,0,0,26-01-2026,,1,28,0,1,0,VICTORIA D1
VICTORIA,0290,1,0,13,0,0,26-01-2026,,1,28,2,6,12,VICTORIA D1
VICTORIA,0293,3,0,81,0,0,26-01-2026,,1,28,13,6,78,VICTORIA D1
VICTORIA,4200,0,0,3,0,0,26-01-2026,,1,28,3,1,3,VICTORIA D1 ***
VICTORIA,0285,113,0,113,0,0,26-01-2026,,1,28,0,1,0,VICTORIA D1
VICTORIA,0284,1,0,1,0,0,26-01-2026,,1,28,0,1,0,VICTORIA D1
VICTORIA,4201,38,0,40,0,0,26-01-2026,,1,28,2,1,2,VICTORIA D1 ***
VICTORIA,0201,0,0,11,0,0,26-01-2026,,1,28,11,1,11,VICTORIA D1 ***
VICTORIA,3319,3,0,19,0,0,26-01-2026,,1,1,16,1,16,VICTORIA D1
VICTORIA,0201,0,0,0,0,0,26-01-2026,,1,1,0,0,0,VICTORIA D1 ***
VICTORIA,4001,0,0,320,0,0,23-01-2026,,1,17,32,10,320,VICTORIA D1
VICTORIA,4000,0,0,180,0,0,23-01-2026,,1,17,18,10,180,VICTORIA D1
VICTORIA,4002,0,0,170,0,0,23-01-2026,,1,17,17,10,170,VICTORIA D1
VICTORIA,4250,0,0,8,0,0,23-01-2026,,1,17,2,4,8,VICTORIA D1
VICTORIA,4017,0,0,800,0,0,23-01-2026,,1,17,8,100,800,VICTORIA D1
VICTORIA,4018,0,0,200,0,0,23-01-2026,,1,17,2,100,200,VICTORIA D1
