code_item,description_item,total
 ,,19
0101,VD DRAAD 1.5 mm  ZWART,313
0102,VD DRAAD 2.5 mm  BRUIN,446
0103,VD DRAAD 2.5 mm  BLAUW,507
0104,VD DRAAD 2.5 mm  GR/GL,300
0107,VD DRAAD  4  mm  GL/GR,200
0108,VD DRAAD  6  mm  ZWART,300
0109,VD DRAAD  6  mm  BLAUW,500
0110,VD DRAAD  6  mm  GR/GL,300
0111,VD DRAAD 10  mm  ZWART,100
0112,VD DRAAD 10  mm  BLAUW,100
0115,VD DRAAD 16  mm  BLAUW,400
0116,VD DRAAD 16  mm  GR/GL,100
0117,VD DRAAD 25  mm  ZWART,700
0118,VD DRAAD 25  mm  BLAUW,600
0119,VD DRAAD 25  mm  GR/GL,100
0130,VDS DRAAD FLEX  1.5mm ZWART,400
0131,VDS DRAAD FLEX  1.5 mm BLAUW,100
0132,VDS DRAAD FLEX  1.5 mm GR/GL,400
0137,VDS DRAAD FLEX 10 mm ZWART,200
0138,VDS DRAAD FLEX 10 mm BLAUW,700
0140,VDS DRAAD FLEX 16 mm BLAUW,300
0141,VDS DRAAD FLEX 16mm GR/GL,100
0142,VDS DRAAD FLEX 25 mm ZWART,300
0143,VDS DRAAD FLEX 25 mm BLAUW,200
0144,VDS DRAAD FLEX 25 mm GR/GL-K,100
0145,VDS DRAAD FLEX 35 mm ZWART,200
0146,VDS DRAAD FLEX 35 mm BLAUW,200
0147,VDS DRAAD FLEX 35 mm GR/GL,100
0148,VDS DRAAD FLEX 50 mm ZWART,200
0149,VDS DRAAD FLEX 2.5mm ZWART,300
0150,VDS DRAAD FLEX 2.5mm BLAUW,300
0153,VDS DRAAD FLEX 4mm BLAUW,800
0154,VDS DRAAD FLEX 4mm GR/GL,1400
0155,VDS DRAAD FLEX 2.5mm ROOD,300
0159,VDS H07V-K FLEX 50 mm BLAUW,200
01??,,280
0201,KABEL YMvK 3G2.5mm rol/100mtr,11
0245,VMVL  H05 V V-F 2x0.75  mm,500
0247,VMvL H05 V V-F 2x1.5   mm,400
0250,VMvL H05 V V-F 4G2.5   mm,700
02501,VMvL H05 V V-F 5G2.5   mm,500
0262,COAX RG6 60% 18AWG,120
0278,KABELGOOT 100x40 mm,4
0284,KABELGOOT 60x40 mm,1
0285,KABELGOOT 10x8 mm,113
0288,KABELGOOT 70x40 mm,9
0289,KABELGOOT 70x60 mm,84
0290,KABELGOOT 100x60 mm,13
0291,KABELGOOT  DEKSEL70x40 mm,94
0292,KABELGOOT DEKSEL 70x60 mm,82
0293,KABELGOOT DEKSEL 100x60 mm,81
0299,WIJMAPLAST 100 gram,15
0300,PVC-LIJM 250 ml,29
0305,HOSTALIT MOF 5/8 Grijs,724
0306,FLEXIBELE BUIS 5/8,5
0307,FLEXIBELE BUIS 3/4,10
0310,FLEXIBELE BUIS 1DUIM,16
0311,"MOFFEN   5/8""",26095
0312,"MOFFEN   3/4""",497
0313,"MOFFEN   1""",527
0314,"MOFFEN 1,5""",117
0315,MOFFEN 2'',210
0316,"BOCHT 1""",355
0317,"BOCHT 1,5""",122
0318,"BOCHT 2""",202
0319,"BUISBEVESTIGING 2"" POLFIX",704
0320,"BUISBEVESTIGING 5/8""POLFIX",8258
0321,"BUISBEVESTIGING 3/4""POLFIX",2372
0322,"BUISBEVESTIGING 1.5"" POLFIX",250
0323,"BUISBEVESTIGING 1"" POLFIX",674
0324,BOCHT PVC  5/8 CRÈME,225
0325,BOCHT PVC  3/4 CRÈME,460
0326,"POLFIX 5/8"" SLAGVAST GRIJS",502
0327,"POLFIX 3/4"" SLAGVAST GRIJS",447
0331,CADDY KAB-CLIPS 2 -4mm 15-18,545
0332,CADDY KAB-CLIPS 2- 4mm 19-24,3333
0333,CADDY KAB-CLIPS 4 -7mm 15-18,2112
0334,CADDY KAB-CLIPS 4 -7mm 19-24,2899
0335,CADDY KAB-CLIPS 8-12mm 15-18,3106
0336,CADDY KAB-CLIPS 8-12mm 19-24,2032
0340,"ZADELS 5/8"" - 15-16mm gemenied",23525
0341,"ZADELS 3/4"" 19-20mm roodgemeni",26061
0342,"ZADELS 2x5/8""",1678
0343,"ZADELS 3x5/8""",3627
0344,"ZADELS 4x5/8""",4421
0345,ZADELS 9-10 mm VERT,13992
0346,ZADELS 11- 12 mm VERT,13672
0347,ZADELS 12 mm VERT,64
0348,ZADELS 13 mm VERT,1500
0349,ZADELS 14 mm VERT,12012
0352,BC  ZADEL  2.5mm ZINC,1036
0353,ZADELS ROOD 25mm (1duim),3272
0354,ZADELS ROOD 38mm (1½duim),50
0355,ZADELS ROOD 50mm (2 duim),704
0360,CABLE CLIPS  5-7mm,200
0361,CABLE CLIPS   4  mm,45222
0362,CABLE CLIPS   5  mm,29605
0363,CABLE CLIPS   6  mm,66682
0364,CABLE CLIPS   7  mm,10100
0365,CABLE CLIPS   8  mm,18000
0366,CABLE CLIPS   9  mm,18300
0367,CABLE CLIPS  10  mm,9750
0368,CABLE CLIPS  11  mm,4546
0369,CABLE CLIPS  12  mm,3700
0370,CABLE CLIPS  16  mm,36
0372,CABLE CLIPS  20  mm,75
0373,CABLE CLIPS   11 - 15  mm,2400
0380,TYRAPS  95x2.5,6600
0382,TYRAPS BRN 200 X 2.5,800
0383,TYRAPS  BRN 250 X 4.8,20000
0385,TYRAPS  BRN 250 X 7.6,700
0386,TYRAPS BRN 380 X 7.6,58
0387,TYRAPS BRN 370 X4.8,4800
0388,TYRAPS  BRN 280 X 4.5,21700
0389,TYRAPS BRN 390 X 4.8,7000
0390,MONTAGEBAND 12mm,138
0391,MONTAGEBAND 17mm,124
0401,KABEL EINDHULSJES  6 mm,985
0402,KABEL EINDHULSJES 10 mm,300
0403,KABEL EINDHULSJES 16 mm,100
0404,KABEL EINDHULSJES 25 mm,677
0408,KABEL EINDHULS 2x4mm ISOLEERT,1600
0409,PERSKABELSCHOEN 2.5 mm  M6,2093
0411,PERSKABELSCHOEN  6  mm  M6,4629
0412,PERSKABELSCHOEN 10  mm  M6,2000
0413,PERSKABELSCHOEN 16  mm  M8,1863
0414,PERSKABELSCHOEN 25  mm  M8,945
0416,PERSKABELSCHOEN 50  mm  M10,782
0418,PERSKABELSCHOEN 95  mm  M12,47
0419,PERSKABELSCHOEN 120 mm  M12,251
0421,PERSKABELSCHOEN  240 mm M12,25
0424,VERBINDINGSBUS  2.5 mm,3743
0425,VERBINDINGSBUS  4 mm,2204
0426,VERBINDINGSBUS  6 mm,2476
0427,VERBINDINGSBUS 10 mm,3437
0428,VERBINDINGSBUS 16 mm,449
0429,VERBINDINGSBUS 25 mm,2020
0430,VERBINDINGSBUS 35 mm,899
0431,VERBINDINGSBUS 50 mm,900
0432,VERBINDINGSBUS 70 mm,185
0433,VERBINDINGSBUS 95 mm,197
04331,VERBINDINGSBUS 120 mm,209
04332,VERBINDINGSBUS 240 mm,6
0434,PERSKABELSCHOEN  6  mm  M8,2600
0435,PERSKABELSCHOEN  10  mm  M8,2607
0436,PERSKABELSCHOEN  10  mm  M10,2141
0437,PERSKABELSCHOEN  16  mm  M6,2657
0438,PERSKABELSCHOEN  16  mm  M10,1051
0439,PERSKABELSCHOEN  25  mm  M6,1098
0440,PERSKABELSCHOEN  25  mm  M10,700
0441,PERSKABELSCHOEN  25  mm  M12,868
0442,PERSKABELSCHOEN  35  mm  M10,600
0443,PERSKABELSCHOEN  35  mm  M12,342
0444,PERSKABELSCHOEN  50  mm  M12,644
0445,PERSKABELSCHOEN  70  mm  M12,756
0446,PERSKABELSCHOEN  95  mm  M10,312
0447,PERSKABELSCHOEN  120  mm  M10,1209
0451,PERSKABELSCHOEN  50  mm  M8,260
0452,PERSKABELSCHOEN  95  mm  M8,395
0453,PERSKABELSCHOEN  70  mm  M14,4
0455,RAYTECH GIETMOF 95MM(A310),1
0456,A310 BARNICOL GIETMOF CPL,5
0457,A150 BARNICOL GIETMOF CPL,12
0460,A370 BARNICOL GIETMOF CPL,8
0461,A470 BARNICOL GIETMOF CPL,2
0462,BARNICOL GIETHARS A,6
0463,BARNICOL GIETHARS B,6
0464,BARNICOL GIETHARS C,5
0467,ATTEMA  GIETMOF PAKKET 2511,32
0468,CP-10 PIN PERSKABELSCHOEN 10MM,858
0469,CP-16 PIN PERSKABELSCHOEN 16MM,537
0470,CP-25 PIN PERSKABELSCHOEN 25MM,330
0471,CP-35 PIN PERSKABELSCHOEN 35MM,122
0472,CP-50 PIN PERSKABELSCHOEN 50MM,28
0473,PERSKABELSCHOEN SMALL 70-10MM,12
0474,PERSKABELSCHOEN SMALL 95-10MM,121
0476,PERSKABELSCHOEN SMALL 240-10MM,8
0477,PERSKABELSCHOEN SMALL 240-12MM,48
0480,T-DOOS              4206-D,446
0481,MIDDENDOOS DUBBEL 4207-D,240
0482,TOPDOOS DUBB RECHT 4208-D,15
0483,TOPDOOS DUBB LINKS   4209-D,65
0484,TOP T DOOS DUBB. R. 4210-D,927
0485,TOP T DOOS DUBB. L.  4211-D,903
0486,KABELDOOS 220A,294
0487,KABELDOOS 222A,141
0488,KABELDOOS 221A,1
0489,KABELDOOS 223A,125
04891,KABELDOOS J100S,164
0490,TREKDOOS                4202-D,353
0491,KABELDOOS 225A,55
0492,KABELDOOS 224A,28
0493,KABELDOOS EP088 (18100),206
0494,KABELDOOS EV111(18300),223
04941,KABEL DOOS EL161 (18800),44
04942,KABEL DOOS EL171 (19150),75
04943,KABEL DOOS EL322 (19750),42
04944,KABEL DOOS GSLT171 (19805),12
04945,KABEL DOOS GSLT231 (19905),6
04946,KABEL DOOS GSLT322 (19965),22
0495,EINDDOOS                4201-D,10
0499,VERHOGINGSRING H251,50
0500,DUBB INBOUWDOOS H251 ABB,266
0501,LASDOOS TOP T DOOS L DUBB3211,670
0502,LASDOOS TOP T  R DUBB 3210,469
0504,LASDOOS VORK TOP LINKS 3209,120
0505,CD/RV RONDE DEKSEL CENTRAL,235
0506,AD/16-19 AFSLUITSTOPBUIS 16-19,1179
0509,LASD EIND ACHTER INV 2031 att,100
0510,LASD TREK ACHTER INV 3222,667
0511,PLAFONDDOOS 97371201 GRO-2 120,58
0513,INBOUWDS HOLLEWAND 16/19,407
0514,MONTAGEDEKSEL GRIJS 3640/D,155
0515,DEKSEL VOOR LASDOOS  3504,574
0517,CENTR ZIJKANT BODEM 76.5MM 169,46
0518,CENTRAALDOOS ROND 80MM C80,203
0519,CENTRAALDOOS ROND 100MM C100,235
0520,CENTRAALD 5/8 55mm ONG 165A,466
0521,CENTRAALD 5/8 55mm GEL 165B,355
0524,CENTRDOOS ROND 12X16/19/20MM,1085
0525,CENTRAALDOOS DEKSEL 3506,752
0526,MONTAGEDEKSEL+WCD3611W1,240
0527,MONTAGEDEKSEL+WCD3611W2,255
0528,MONTAGEDEKSEL+WCD3640W4,101
0529,ONDERBAK KABELDOOS 3640/1,2
0530,MONTAGEDEKSEL+WCD3640W2,317
0531,UNIVERSEEL LASDOOS    3611,785
0532,BLINDDEKSEL (uni lasdoos) 3535,400
0533,MONTAGEDKSL (uni lasdoos) 3543,269
0534,INBOUWDOOS DUBB WCD H140,464
0535,GIETBOUWDOOS EURO 2x3/4 MGD50,893
0539,INZ.STK KABELDOOS3640 16mm3525,316
0540,INZ.STK KABELDOOS3640 19mm3529,379
0541,MD4050 MULTIDOOS,15
0542,MT/2X 16-19MM Inzetstuk,437
05421,MT/1X 16-19MM Inzetstuk,642
0543,VERHOGINGSRING MD4050 4MM,51
0544,VERHOGINGSRING MD4050 6MM,27
0545,SPARINGSKEGEL 3550 16MM,40
0547,PG+MOER M16,810
0548,PG+MOER M20,1105
0549,PG+MOER M25,4067
0550,"PG 13,5 + MOER",3550
0554,PG 36,234
0555,PG 48,39
0556,PG+MOER M32,16
0557,PG+MOER M40,1410
0558,PG+MOER M50,263
0559,PG+MOER M63,242
0560,"MOER PG 13,5",5500
0561,MOER PG 16,305
0562,MOER PG 21,200
0564,MOER PG 36,11
0565,MOER PG 48,841
0568,CONEX STEEKKLEM 2-VOUDIG,1300
0569,CONEX STEEKKLEM 3-VOUDIG,13153
0570,CONEX STEEKKLEM 4-VOUDIG,12075
0571,CONEX STEEKKLEM 5-VOUDIG,11373
0574,LASDOPPEN 2-7.5 mm CONEX,2000
0575,LASDOPPEN 3.0-12.5 mm,5324
0576,LASDOPPEN 7.5-18.0 mm,2490
0577,LASDOPPEN 12-24 mm,3456
0580,KROONKLEMSTROOK 2.5-4 mm2,379
0582,KROONKLEMSTROOK  10 mm2,1
0583,KROONKLEMSTROOK  16 mm2,153
0584,KROONKLEMSTROOK  25 mm2,158
