counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,remarks
MALINA,3,1,29-01-2026,1236,,6,1,6,0,0,6,MALINA D3
MALINA,3,1,29-01-2026,1196,,11,1,11,0,0,11,MALINA D3
MALINA,3,1,29-01-2026,7158,,17,1,17,0,0,17,MALINA D3
MALINA,3,1,29-01-2026,3252,,1,20,20,4,0,24,MALINA D3
MALINA,3,1,29-01-2026,0493,,184,1,184,0,0,184,MALINA D3
MALINA,3,1,29-01-2026,15141,,4,1,4,0,0,4,MALINA D3
MALINA,3,1,29-01-2026,7163,,405,1,405,0,0,405,MALINA D3
MALINA,3,1,29-01-2026,7164,,31,1,31,0,0,31,MALINA D3
MALINA,3,1,29-01-2026,7165,,31,1,31,0,0,31,MALINA D3
MALINA,3,1,29-01-2026,7160,,17,1,17,0,0,17,MALINA D3
MALINA,3,1,29-01-2026,7166,,9,1,9,0,0,9,MALINA D3
MALINA,3,1,29-01-2026,7173,,15,1,15,0,0,15,MALINA D3
MALINA,3,1,29-01-2026,0494,,2,85,170,44,0,214,MALINA D3
MALINA,3,2,29-01-2026,1223,,12,1,12,0,0,12,MALINA D3
MALINA,3,2,29-01-2026,7071,,5,1,5,0,0,5,MALINA D3
MALINA,3,2,29-01-2026,7080,,22,1,22,0,0,22,MALINA D3
MALINA,3,2,29-01-2026,7072,,14,1,14,0,0,14,MALINA D3
MALINA,3,2,30-01-2026,7081,,6,1,6,0,0,6,MALINA D3
MALINA,3,2,30-01-2026,7070,,0,1,0,29,0,29,MALINA D3
MALINA,3,2,30-01-2026,7079,,3,3000,9000,0,0,9000,MALINA D3
MALINA,3,2,30-01-2026,7073,,1,1000,1000,0,0,1000,MALINA D3
MALINA,3,2,30-01-2026,1161,,42,1,42,0,0,42,MALINA D3
MALINA,3,2,30-01-2026,7083,,22,1,22,0,0,22,MALINA D3
MALINA,3,2,30-01-2026,1216,,93,1,93,0,0,93,MALINA D3
MALINA,3,2,30-01-2026,7177,,7,1,7,0,0,7,MALINA D3
MALINA,3,2,30-01-2026,1218,,7,1,7,1,0,8,MALINA D3
MALINA,3,2,30-01-2026,3119,,21,1,21,0,0,21,MALINA D3
MALINA,3,2,30-01-2026,1237,,1,100,100,0,0,100,MALINA D3
MALINA,3,2,30-01-2026,1242,,4,1,4,0,0,4,MALINA D3
MALINA,3,2,30-01-2026,7084,,100,1,100,0,0,100,MALINA D3
MALINA,3,2,30-01-2026,7076,,33,1,33,0,0,33,MALINA D3
MALINA,3,2,30-01-2026,7077,,44,200,8800,0,0,8800,MALINA D3
MALINA,3,2,30-01-2026,7078,,41,100,4100,0,0,4100,MALINA D3
MALINA,3,2,30-01-2026,1223,,7,1,7,0,0,7,MALINA D3
MALINA,3,2,30-01-2026,0408,,12,1,12,0,0,12,MALINA D3
MALINA,3,2,30-01-2026,7079,,2,1,2,0,0,2,MALINA D3
MALINA,3,2,30-01-2026,0391,,12,10,120,0,0,120,MALINA D3
MALINA,3,2,30-01-2026,0390,,13,10,130,0,0,130,MALINA D3
MALINA,3,2,30-01-2026,7082,,19,500,9500,0,0,9500,MALINA D3
MALINA,3,2,30-01-2026,3292,,0,1,0,0,0,0,MALINA D3 Mirar despues ***
MALINA,3,2,30-01-2026,3293,,1,100,100,0,0,100,MALINA D3
MALINA,3,2,30-01-2026,1157,,0,1,0,8,0,8,MALINA D3
MALINA,3,2,30-01-2026,1158,,3,10,30,1,0,31,MALINA D3
MALINA,3,2,30-01-2026,1159,,4,10,40,2,0,42,MALINA D3
MALINA,3,2,30-01-2026,33210,,3,3,9,0,0,9,MALINA D3
