id,counter_name,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,deposit_name,rack_name,location,count_date
1,LUZMERY,0481,MIDDENDOOS DUBBEL 4207-D,0,0,0,40,0,40,0,40,Almacen,Q,Almacen - Q,2026-02-06
2,LUZMERY,0482,TOPDOOS DUBB RECHT 4208-D,0,0,0,15,0,15,0,15,Almacen,Q,Almacen - Q,2026-02-06
3,LUZMERY,0483,TOPDOOS DUBB LINKS   4209-D,0,0,0,65,0,65,0,65,Almacen,Q,Almacen - Q,2026-02-06
4,LUZMERY,0505,CD/RV RONDE DEKSEL CENTRAL,0,0,0,85,0,85,0,85,Almacen,Q,Almacen - Q,2026-02-06
5,LUZMERY,0533,MONTAGEDKSL (uni lasdoos) 3543,0,0,0,9,0,9,0,9,Almacen,Q,Almacen - Q,2026-02-06
6,LUZMERY,0515,DEKSEL VOOR LASDOOS  3504,0,0,0,574,0,574,0,574,Almacen,Q,Almacen - Q,2026-02-06
7,LUZMERY,3222,TL INBOUWBAK 2X4 PARABOL 32W,0,0,0,25,0,25,0,25,Almacen,Q,Almacen - Q,2026-02-06
8,LUZMERY,0525,CENTRAALDOOS DEKSEL 3506,0,0,0,252,0,252,0,252,Almacen,Q,Almacen - Q,2026-02-06
9,LUZMERY,1725,ETI AUTOMAAT 6KA 3P 50A CKAR,0,0,0,1,0,1,0,1,Almacen,K,Almacen - K,2026-02-09
10,LUZMERY,1755,ETI AARDLEK AUTOM 2P B16 30MA,0,0,0,1,0,1,0,1,Almacen,K,Almacen - K,2026-02-09
11,LUZMERY,1750,ETI  MAGNEET SCHAKELAAR 2P 20A,0,0,0,2,0,2,0,2,Almacen,K,Almacen - K,2026-02-09
12,LUZMERY,8031,"ETI aardleksch 40A 4P0,03 127V",0,0,0,1,0,1,0,1,Almacen,K,Almacen - K,2026-02-09
13,LUZMERY,1746,ETI 2421311 OMSCHAKELAAR 16A,2,12,24,0,0,24,0,24,Almacen,K,Almacen - K,2026-02-09
14,LUZMERY,1738,ETI AUTOMAAT 6KA 3P+N 6A CKAR,0,0,0,2,0,2,0,2,Almacen,K,Almacen - K,2026-02-09
15,LUZMERY,3502,ETI 3901129 TERMINAL VS 16 IVO,0,0,0,21,0,21,0,21,Almacen,K,Almacen - K,2026-02-09
16,LUZMERY,3497,ETI 3901016 END BRACKET PKPA35,0,0,0,11,0,11,0,11,Almacen,K,Almacen - K,2026-02-09
17,LUZMERY,3500,ETI 3901068 TERMINAL VS 6 IVOR,0,0,0,23,0,23,0,23,Almacen,K,Almacen - K,2026-02-09
18,LUZMERY,1728,ETI AUTOMAAT 6KA 3P+N 16A CKAR,0,0,0,2,0,2,0,2,Almacen,K,Almacen - K,2026-02-09
19,LUZMERY,1743,ETI  AUTOMAAT15KA 80A 3P+N C,1,1,1,0,0,1,0,1,Almacen,K,Almacen - K,2026-02-09
20,LUZMERY,3499,ETI 3901038 TERMINAL VS 4 BLUE,3,100,300,51,0,351,0,351,Almacen,K,Almacen - K,2026-02-09
21,LUZMERY,3508,ETI 3901157 TERMINAL VS35 IVOR,0,0,0,3,0,3,0,3,Almacen,K,Almacen - K,2026-02-09
