counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,remarks,,
VICTORIA,3,26,30-01-2026,15144,,0,1,0,21,0,21,VICTORIA D3,,
VICTORIA,3,26,30-01-2026,15145,,0,1,0,12,0,12,VICTORIA D3,,
VICTORIA,3,26,30-01-2026,7052,,0,1,0,2,0,2,VICTORIA D3,,
VICTORIA,3,26,30-01-2026,7051,,0,1,0,37,0,37,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0615,,0,1,0,1325,0,1325,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0614,,0,1,0,950,0,950,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0613,,0,1,0,875,0,875,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0612,,0,1,0,477,0,477,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0611,,0,1,0,1300,0,1300,VICTORIA D3,,
VICTORIA,3,21,30-01-2026,0610,,0,1,0,500,0,500,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0577,,0,1,0,220,0,220,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0575,,0,1,0,100,0,100,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0576,,0,1,0,80,0,80,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,7176,,0,1,0,60,0,60,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0569,,0,1,0,160,0,160,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0570,,0,1,0,160,0,160,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,0571,,0,1,0,140,0,140,VICTORIA D3,,
VICTORIA,3,31,30-01-2026,15143,,0,1,0,1,0,1,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0631,,5,3,15,0,0,15,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0630,,17,3,51,0,0,51,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0628,,9,9,81,0,0,81,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0627,,5,3,15,0,0,15,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0625,,35,3,105,0,0,105,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0624,,12,3,36,0,0,36,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1153,,15,50,750,0,0,750,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,15140,,0,1,0,21,0,21,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1152,,55,50,2750,0,0,2750,VICTORIA D3 ***,55x50 + 12x50,
VICTORIA,3,28,30-01-2026,1152,,12,50,600,0,0,600,VICTORIA D3 ***,55x50 + 12x50,
VICTORIA,3,28,30-01-2026,3332,,3,8,24,0,0,24,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1375,,0,1,0,120,0,120,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1376,,0,1,0,96,0,96,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1377,,0,1,0,64,0,64,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1378,,0,1,0,60,0,60,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,3124,,2,4,8,0,0,8,VICTORIA D3 ***,2x4 y 3x4,
VICTORIA,3,28,30-01-2026,3124,,3,4,12,0,0,12,VICTORIA D3 ***,2x4 y 3x4,
VICTORIA,3,28,30-01-2026,1150,,16,50,800,0,0,800,VICTORIA D3,,
VICTORIA,3,28,30-01-2026,1150,,30,50,1500,0,0,1500,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0620,,5,50,250,0,0,250,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0621,,8,20,160,0,0,160,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,7054,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,7055,,3,20,60,2,0,62,VICTORIA D3 ***,3x20,2
VICTORIA,3,27,30-01-2026,0600,,60,25,1500,0,0,1500,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0601,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,0602,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,0603,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,0604,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,0605,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,0646,,4,3,12,0,0,12,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0644,,12,3,36,0,0,36,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0643,,0,3,0,0,0,0,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0641,,14,3,42,0,0,42,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0639,,24,3,72,0,0,72,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0638,,22,3,66,0,0,66,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0637,,34,3,102,0,0,102,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0636,,17,3,51,0,0,51,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,0635,,22,3,66,0,0,66,VICTORIA D3,,
VICTORIA,3,27,30-01-2026,3014,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,27,30-01-2026,3011,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,30,30-01-2026,15143,,0,1,0,22,0,22,VICTORIA D3,,
VICTORIA,3,30,30-01-2026,15145,,0,1,0,17,0,17,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,15143,,0,1,0,15,0,15,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0703,,13,10,130,0,0,130,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0702,,6,10,60,0,0,60,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0517,,0,1,0,46,0,46,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0513,,3,120,360,0,0,360,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0505,,3,50,150,0,0,150,VICTORIA D3,,
VICTORIA,3,34,2/2/2026,0490,,10,10,100,0,0,100,VICTORIA D3,,
VICTORIA,3,33,2/2/2026,0534,,9,50,450,0,0,450,VICTORIA D3 ***,1418,BERKER AFDEKPL SERIE 16238989 
VICTORIA,3,33,2/2/2026,0490,,2,100,200,0,0,200,VICTORIA D3 ***,14180,BERKER AFDPL SCHAK 3P 16658989
VICTORIA,3,33,2/2/2026,0700,,3,100,300,0,0,300,VICTORIA D3 ***,14181,BERKER AFDPL SCHAK2xW 16238989
VICTORIA,3,33,2/2/2026,0535,,2,100,200,0,0,200,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1327,,5,25,125,0,0,125,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1330,,16,10,160,0,0,160,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1328,,7,25,175,0,0,175,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1329,,19,10,190,0,0,190,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1331,,19,10,190,0,0,190,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1334,,0,1,0,218,0,218,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1335,,0,1,0,297,0,297,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1314,,0,1,0,202,0,202,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,3124,,7,4,28,0,0,28,VICTORIA D3,,
VICTORIA,3,29,3/2/2026,0535,,6,100,600,0,0,600,VICTORIA D3,,
VICTORIA,3,29,3/2/2026,0540,,3,100,300,0,0,300,VICTORIA D3,,
VICTORIA,3,29,3/2/2026,05421,,10,50,500,0,0,500,VICTORIA D3,,
VICTORIA,3,29,3/2/2026,0506,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,29,3/2/2026,0514,,3,50,150,0,0,150,VICTORIA D3,,
VICTORIA,3,29,3/2/2026,0483,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,29,3/2/2026,0483,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,29,3/2/2026,0482,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,29,3/2/2026,0495,,0,1,0,0,0,0,VICTORIA D3 ***,,
VICTORIA,3,31,2/2/2026,0580,,37,10,370,0,0,370,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0583,,29,5,145,0,0,145,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0584,,18,5,90,0,0,90,VICTORIA D3 ***,18X5  Y  4X10,
VICTORIA,3,31,2/2/2026,0584,,4,10,40,0,0,40,VICTORIA D3 ***,18X5  Y  4X10,
VICTORIA,3,31,2/2/2026,0335,,11,100,1100,0,0,1100,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0333,,20,100,2000,0,0,2000,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0331,,5,100,500,0,0,500,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0336,,18,100,1800,0,0,1800,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0334,,26,100,2600,0,0,2600,VICTORIA D3,,
VICTORIA,3,31,2/2/2026,0332,,11,100,1100,0,0,1100,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,04944,,0,1,0,12,0,12,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,0715,,12,5,60,0,0,60,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,7189,,9,8,72,0,0,72,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,7188,,12,5,60,0,0,60,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,7190,,6,6,36,0,0,36,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,0486,,29,10,290,0,0,290,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,3332,,5,20,100,0,0,100,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1376,,1,24,24,0,0,24,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1309,,0,1,0,90,0,90,VICTORIA D3,,
VICTORIA,3,32,2/2/2026,1310,,0,1,0,295,0,295,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,0533,,26,10,260,0,0,260,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,04946,,0,1,0,21,0,21,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,2999,,0,1,0,7,0,7,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,3021,,0,1,0,11,0,11,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,3023,,0,1,0,1,0,1,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,3019,,0,1,0,6,0,6,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,04942,,0,1,0,75,0,75,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,04941,,0,1,0,44,0,44,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,7170,,0,1,0,11,0,11,VICTORIA D3,,
VICTORIA,3,36,3/2/2026,0335,,40,100,4000,0,0,4000,VICTORIA D3,,
VICTORIA,3,35,3/2/2026,0500,,0,1,0,250,0,250,VICTORIA D3,,
