item,count_date,item_description,total
0101,2026-02-09,VD DRAAD 1.5 mm  ZWART,2200
0101,2026-02-16,VD DRAAD 1.5 mm  ZWART,29100
0102,2026-02-09,VD DRAAD 2.5 mm  BRUIN,2000
0102,2026-02-16,VD DRAAD 2.5 mm  BRUIN,426
0103,2026-02-09,VD DRAAD 2.5 mm  BLAUW,1800
0103,2026-02-16,VD DRAAD 2.5 mm  BLAUW,489
0104,2026-01-26,VD DRAAD 2.5 mm  GR/GL,280
0104,2026-02-09,VD DRAAD 2.5 mm  GR/GL,2000
0107,2026-02-05,VD DRAAD  4  mm  GL/GR,200
0108,2026-02-05,VD DRAAD  6  mm  ZWART,300
0109,2026-02-05,VD DRAAD  6  mm  BLAUW,500
0110,2026-02-05,VD DRAAD  6  mm  GR/GL,300
0111,2026-02-05,VD DRAAD 10  mm  ZWART,100
0112,2026-02-05,VD DRAAD 10  mm  BLAUW,100
0115,2026-02-05,VD DRAAD 16  mm  BLAUW,400
0116,2026-02-05,VD DRAAD 16  mm  GR/GL,100
0117,2026-02-04,VD DRAAD 25  mm  ZWART,100
0117,2026-02-05,VD DRAAD 25  mm  ZWART,600
0118,2026-02-05,VD DRAAD 25  mm  BLAUW,600
0119,2026-02-05,VD DRAAD 25  mm  GR/GL,100
0130,2026-02-05,VDS DRAAD FLEX  1.5mm ZWART,400
0131,2026-02-05,VDS DRAAD FLEX  1.5 mm BLAUW,100
0132,2026-02-04,VDS DRAAD FLEX  1.5 mm GR/GL,400
0137,2026-02-04,VDS DRAAD FLEX 10 mm ZWART,200
0138,2026-02-04,VDS DRAAD FLEX 10 mm BLAUW,700
0140,2026-02-04,VDS DRAAD FLEX 16 mm BLAUW,300
0141,2026-02-04,VDS DRAAD FLEX 16mm GR/GL,100
0142,2026-02-05,VDS DRAAD FLEX 25 mm ZWART,300
0143,2026-02-04,VDS DRAAD FLEX 25 mm BLAUW,100
0143,2026-02-04,VDS DRAAD FLEX 25 mm BLAUW,100
0144,2026-02-04,VDS DRAAD FLEX 25 mm GR/GL-K,100
0145,2026-02-05,VDS DRAAD FLEX 35 mm ZWART,200
0146,2026-02-05,VDS DRAAD FLEX 35 mm BLAUW,200
0147,2026-02-04,VDS DRAAD FLEX 35 mm GR/GL,100
0148,2026-02-04,VDS DRAAD FLEX 50 mm ZWART,100
0148,2026-02-04,VDS DRAAD FLEX 50 mm ZWART,100
0149,2026-02-04,VDS DRAAD FLEX 2.5mm ZWART,300
0150,2026-02-04,VDS DRAAD FLEX 2.5mm BLAUW,300
0153,2026-02-05,VDS DRAAD FLEX 4mm BLAUW,800
0154,2026-02-05,VDS DRAAD FLEX 4mm GR/GL,1400
0155,2026-02-04,VDS DRAAD FLEX 2.5mm ROOD,300
0159,2026-02-04,VDS H07V-K FLEX 50 mm BLAUW,200
0201,2026-01-26,KABEL YMvK 3G2.5mm rol/100mtr,11
0245,2026-02-04,VMVL  H05 V V-F 2x0.75  mm,500
0247,2026-02-04,VMvL H05 V V-F 2x1.5   mm,400
0250,2026-01-02,VMvL H05 V V-F 4G2.5   mm,700
02501,2026-02-04,VMvL H05 V V-F 5G2.5   mm,500
0262,2026-02-05,COAX RG6 60% 18AWG,120
0278,2026-01-26,KABELGOOT 100x40 mm,4
0284,2026-01-26,KABELGOOT 60x40 mm,1
0285,2026-01-26,KABELGOOT 10x8 mm,113
0288,2026-01-26,KABELGOOT 70x40 mm,9
0289,2026-01-26,KABELGOOT 70x60 mm,84
0290,2026-01-26,KABELGOOT 100x60 mm,13
0291,2026-01-26,KABELGOOT  DEKSEL70x40 mm,94
0292,2026-01-26,KABELGOOT DEKSEL 70x60 mm,82
0293,2026-01-26,KABELGOOT DEKSEL 100x60 mm,81
0299,2026-02-09,WIJMAPLAST 100 gram,15
0300,2026-02-06,PVC-LIJM 250 ml,11
0300,2026-02-09,PVC-LIJM 250 ml,18
0305,2026-02-09,HOSTALIT MOF 5/8 Grijs,324
0305,2026-02-16,HOSTALIT MOF 5/8 Grijs,400
0306,2026-02-02,FLEXIBELE BUIS 5/8,5
0307,2026-02-02,FLEXIBELE BUIS 3/4,10
0310,2026-01-02,FLEXIBELE BUIS 1DUIM,16
0311,2026-01-02,"MOFFEN   5/8""",8000
0311,2026-02-06,"MOFFEN   5/8""",495
0311,2026-02-16,"MOFFEN   5/8""",8000
0311,2026-02-16,"MOFFEN   5/8""",9600
0312,2026-02-06,"MOFFEN   3/4""",97
0312,2026-02-16,"MOFFEN   3/4""",400
0313,2026-02-06,"MOFFEN   1""",127
0313,2026-02-16,"MOFFEN   1""",400
0314,2026-02-06,"MOFFEN 1,5""",21
0314,2026-02-16,"MOFFEN 1,5""",3200
0314,2026-02-16,"MOFFEN 1,5""",96
0315,2026-02-06,MOFFEN 2'',18
0315,2026-02-16,MOFFEN 2'',192
0316,2026-02-09,"BOCHT 1""",55
0316,2026-02-16,"BOCHT 1""",300
0317,2026-02-09,"BOCHT 1,5""",22
0317,2026-02-16,"BOCHT 1,5""",100
0318,2026-02-09,"BOCHT 2""",12
0318,2026-02-16,"BOCHT 2""",90
0318,2026-02-16,"BOCHT 2""",100
0319,2026-02-09,"BUISBEVESTIGING 2"" POLFIX",4
0319,2026-02-16,"BUISBEVESTIGING 2"" POLFIX",700
0320,2026-02-09,"BUISBEVESTIGING 5/8""POLFIX",1058
0320,2026-02-16,"BUISBEVESTIGING 5/8""POLFIX",7200
0321,2026-02-09,"BUISBEVESTIGING 3/4""POLFIX",772
0321,2026-02-16,"BUISBEVESTIGING 3/4""POLFIX",1600
0322,2026-02-09,"BUISBEVESTIGING 1.5"" POLFIX",50
0322,2026-02-16,"BUISBEVESTIGING 1.5"" POLFIX",200
0323,2026-02-09,"BUISBEVESTIGING 1"" POLFIX",74
0323,2026-02-16,"BUISBEVESTIGING 1"" POLFIX",600
0324,2026-02-09,BOCHT PVC  5/8 CRÈME,75
0324,2026-02-16,BOCHT PVC  5/8 CRÈME,150
0325,2026-02-09,BOCHT PVC  3/4 CRÈME,85
0325,2026-02-16,BOCHT PVC  3/4 CRÈME,375
0326,2026-02-09,"POLFIX 5/8"" SLAGVAST GRIJS",52
