item,ubicacion,item_descripcion,en_cajas,sueltos,total,inventario_actual,diferencia
0363,Almacen - B,CABLE CLIPS   6  mm,0,182,182,73190,-73008
0361,Almacen - A,CABLE CLIPS   4  mm,0,222,222,45089,-44867
0363,Deposit N4 - D14,CABLE CLIPS   6  mm,0,40000,40000,73190,-33190
11480,Almacen - T,"INB.DOOS PLASTIC 2x4"" WIT",0,72,72,31500,-31428
0362,Almacen - B,CABLE CLIPS   5  mm,0,105,105,29700,-29595
0341,Almacen - R,"ZADELS 3/4"" 19-20mm roodgemeni",11,500,511,26162,-25651
0311,Almacen - P,"MOFFEN   5/8""",400,95,495,26003,-25508
0340,Almacen - R,"ZADELS 5/8"" - 15-16mm gemenied",25,500,525,25119,-24594
7080,Deposit N3 - A2,ADER EINDHULS 2X2.5mm TE2510,22,0,22,22365,-22343
0311,Deposit N3 - D2,"MOFFEN   5/8""",4800,0,4800,26003,-21203
7072,Deposit N3 - A2,ADER EINDHULS 4mm E4012,14,0,14,20620,-20606
0311,Deposit N3 - E,"MOFFEN   5/8""",8000,0,8000,26003,-18003
0366,Almacen - A,CABLE CLIPS   9  mm,0,300,300,18100,-17800
7073,Deposit N3 - A2,ADER EINDHULS 6mm E6012,1000,0,1000,17626,-16626
0311,Deposit N3 - D6,"MOFFEN   5/8""",9600,0,9600,26003,-16403
7071,Deposit N3 - A2,ADER EINDHULS 2.5mm E2508,5,0,5,15755,-15750
0570,Almacen - H,CONEX STEEKKLEM 4-VOUDIG,0,75,75,14713,-14638
0570,Deposit N3 - C7,CONEX STEEKKLEM 4-VOUDIG,0,160,160,14713,-14553
0569,Deposit N3 - C7,CONEX STEEKKLEM 3-VOUDIG,0,160,160,13962,-13802
0346,Almacen - R,ZADELS 11- 12 mm VERT,0,172,172,13887,-13715
0349,Almacen - R,ZADELS 14 mm VERT,0,12,12,13579,-13567
0345,Almacen - R,ZADELS 9-10 mm VERT,32,460,492,13631,-13139
0569,Almacen - H,CONEX STEEKKLEM 3-VOUDIG,1125,28,1153,13962,-12809
0571,Deposit N3 - C7,CONEX STEEKKLEM 5-VOUDIG,0,140,140,12351,-12211
