item,ubicacion,item_descripcion,en_cajas,sueltos,total,inventario_actual,diferencia
0130,Deposit N4 - D15,VDS DRAAD FLEX  1.5mm ZWART,0,4,4,98,-94
0131,Deposit N4 - D15,VDS DRAAD FLEX  1.5 mm BLAUW,0,1,1,401,-400
0132,Deposit N4 - D11,VDS DRAAD FLEX  1.5 mm GR/GL,0,4,4,348,-344
0137,Deposit N4 - D11,VDS DRAAD FLEX 10 mm ZWART,0,2,2,358,-356
0138,Deposit N4 - D11,VDS DRAAD FLEX 10 mm BLAUW,0,7,7,801,-794
0140,Deposit N4 - D11,VDS DRAAD FLEX 16 mm BLAUW,0,3,3,351,-348
0141,Deposit N4 - D7,VDS DRAAD FLEX 16mm GR/GL,0,1,1,124,-123
0142,Deposit N4 - D15,VDS DRAAD FLEX 25 mm ZWART,0,3,3,376,-373
0143,Deposit N4 - D4,VDS DRAAD FLEX 25 mm BLAUW,0,1,1,207,-206
0144,Deposit N4 - D11,VDS DRAAD FLEX 25 mm GR/GL-K,0,1,1,232,-231
0145,Deposit N4 - D16,VDS DRAAD FLEX 35 mm ZWART,0,2,2,221,-219
0146,Deposit N4 - D16,VDS DRAAD FLEX 35 mm BLAUW,0,2,2,289,-287
0147,Deposit N4 - D4,VDS DRAAD FLEX 35 mm GR/GL,0,1,1,359,-358
0148,Deposit N4 - D4,VDS DRAAD FLEX 50 mm ZWART,0,1,1,119,-118
0149,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm ZWART,0,3,3,389,-386
0150,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm BLAUW,0,3,3,436,-433
0153,Deposit N4 - D15,VDS DRAAD FLEX 4mm BLAUW,0,8,8,1156,-1148
0154,Deposit N4 - D15,VDS DRAAD FLEX 4mm GR/GL,0,14,14,1254,-1240
0155,Deposit N4 - D11,VDS DRAAD FLEX 2.5mm ROOD,0,3,3,290,-287
0159,Deposit N4 - D4,VDS H07V-K FLEX 50 mm BLAUW,0,2,2,184,-182
