location,item,item_description
Deposit N1 - A1,0201,KABEL YMvK 3G2.5mm rol/100mtr
Deposit N1 - A1,3229,TL-ORNEMENT LED 1x18W WD LEEG
Deposit N1 - A1,3319,PICKENS RFTL 100W 6500K UFO
Deposit N1 - A2,0103,VD DRAAD 2.5 mm  BLAUW
Deposit N1 - A3,0101,VD DRAAD 1.5 mm  ZWART
Deposit N1 - A3,3230,TL ORNEMENT LED 2X9W WD LEEG
Deposit N1 - A4,3231,TL ORNEMENT LED2X18W WD LEEG
Deposit N1 - A5,3225,TL-ORNEMENT 1x20W WD 127/220V
Deposit N1 - A5,3231,TL ORNEMENT LED2X18W WD LEEG
Deposit N1 - A5,3256,TL-BUIS LED 10W 6500K
Deposit N1 - A5,3258,LED TUBE 10W 4000K 60cm
Deposit N1 - A5,3275,LED TUBE T8 10W/865 1050l 6500
Deposit N1 - A5,3350,LEDPANEL 40W 2x2 CCT 120-277V
Deposit N1 - A6,0104,VD DRAAD 2.5 mm  GR/GL
Deposit N1 - B1,3210,TL-ORNEMENT 1x20W 127/220V
Deposit N1 - B1,3223,TL ORNEMENT LED 1X9W LEEG
Deposit N1 - B1,3229,TL-ORNEMENT LED 1x18W WD LEEG
Deposit N1 - B1,3253,TL- BUIS  32W DL T8
Deposit N1 - B2,3210,TL-ORNEMENT 1x20W 127/220V
Deposit N1 - B2,3224,TL ORNEMENT LED 1X18W LEEG
Deposit N1 - B2,3230,TL ORNEMENT LED 2X9W WD LEEG
Deposit N1 - B3,0102,VD DRAAD 2.5 mm  BRUIN
Deposit N1 - B3,1920,RAILKOPER VERN 15X8MM
Deposit N1 - B3,19201,RAILKOPER VERN 20X5MM
Deposit N1 - B3,3212,TL-ORNEMENT 2x40W 127V 50Hz
Deposit N1 - B3,4106,COVER PLATE - TELEPHONE 90712
Deposit N1 - B3,4117,COVER RING WITH DOUBLE 90442
Deposit N1 - B3,4140,ROCKER FOR SWITCHES 90601 TPM
Deposit N1 - B3,4141,DOUBLE ROCKERS 90611 TPM
Deposit N1 - B3,4142,TRIPLE ROCKERS 90661 TPM
Deposit N1 - B3,4143,COVER PLATE FOR DIMMER90721TPM
Deposit N1 - B3,4144,COV PLATE SINGLE RJ45 90751TPM
Deposit N1 - B3,4145,COV PLATE  TELEPHONE 90712 TPM
Deposit N1 - B3,4150,SINGLE FRAME 90910 TPM
Deposit N1 - B3,4151,2 X HORIZONTAL FRAME 90920 TPM
Deposit N1 - B3,4154,5 X HORIZONT FRAME 90950 TPM
Deposit N1 - B3,4155,COV RING WITH DOUBLE 90442 SPM
Deposit N1 - B3,4156,COV PLATE FOR USB 90673 TPM
Deposit N1 - B4,4024,COV PL SCHUK SOCKET IP44 70634
Deposit N1 - B4,4035,WATERPROOF FRAME IP 44  70961
Deposit N1 - B4,4040,SINGLE POLE SWITCH 37011 OPB
Deposit N1 - B4,4041,TWO CIRCUITS SWITCH 37061 OPB
Deposit N1 - B4,4042,TWO-WAY SWITCH 37071 OPB
Deposit N1 - B4,4043,DOUBLE 2-WAY SWITCH  37101 OPB
Deposit N1 - B4,4046,SINGLE POLE SWITCH 48011 OP WD
Deposit N1 - B4,4047,TWO POLE SWITCH 48021 WD OPB
Deposit N1 - B4,4048,2 CIRCUITS SWITCH 48061 OPB WD
Deposit N1 - B4,4049,TWO WAY SWITCH 48071 OPB WD
Deposit N1 - B4,4050,EARTH SOCKET  48131 OPB  WD
