Ubicacion,Codigo,Descripcion,total
Almacen - A,0361,CABLE CLIPS   4  mm,222
Almacen - A,0366,CABLE CLIPS   9  mm,300
Almacen - A,0367,CABLE CLIPS  10  mm,50
Almacen - A,0368,CABLE CLIPS  11  mm,46
Almacen - A,0370,CABLE CLIPS  16  mm,36
Almacen - A,0373,CABLE CLIPS   11 - 15  mm,0
Almacen - A,0514,MONTAGEDEKSEL GRIJS 3640/D,5
Almacen - A,0520,CENTRAALD 5/8 55mm ONG 165A,66
Almacen - A,0527,MONTAGEDEKSEL+WCD3611W2,5
Almacen - A,0528,MONTAGEDEKSEL+WCD3640W4,1
Almacen - A,0529,ONDERBAK KABELDOOS 3640/1,2
Almacen - A,0530,MONTAGEDEKSEL+WCD3640W2,16
Almacen - A,0530,MONTAGEDEKSEL+WCD3640W2,201
Almacen - A,0531,UNIVERSEEL LASDOOS    3611,85
Almacen - A,0540,INZ.STK KABELDOOS3640 19mm3529,79
Almacen - A,0543,VERHOGINGSRING MD4050 4MM,51
Almacen - A,0544,VERHOGINGSRING MD4050 6MM,27
Almacen - A,0700,ATT UNIVERSELE LASDOOS 1619,39
Almacen - A,0702,ATT MONTAGEDEKSEL 1X WCD 1622,4
Almacen - A,0703,ATT MONTAGEDEKSEL 2X WCD 1623,5
Almacen - A,0706,ATT EINDOOS 2033,35
Almacen - A,4056,Face plate F/2 RJ Connector 2M,12
Almacen - B,0360,CABLE CLIPS  5-7mm,200
Almacen - B,0362,CABLE CLIPS   5  mm,105
Almacen - B,0363,CABLE CLIPS   6  mm,182
Almacen - B,0372,CABLE CLIPS  20  mm,75
Almacen - B,0499,VERHOGINGSRING H251,50
Almacen - B,0513,INBOUWDS HOLLEWAND 16/19,47
Almacen - B,0524,CENTRDOOS ROND 12X16/19/20MM,65
Almacen - B,0539,INZ.STK KABELDOOS3640 16mm3525,316
Almacen - B,4000,SINGEL POLE SWITCH 21011,7
Almacen - B,4001,TWO POLE SWITCH 21021,5
Almacen - B,4002,TWO CIRCUITS SWITCH 21061,1
Almacen - B,4003,THREE CIRCUITS SWITCH 21088,1
Almacen - B,4005,DOUBLE TWO WAY SWITCH 21101,1
Almacen - B,4006,PULL-CORD PUSH BUTTON 21092,90
Almacen - B,4011,RJ 45 CAT 6 UTP  SOCKET 21455,12
Almacen - B,4012,RJ 45 CAT 5 E UTP SOCKET 21453,4
Almacen - B,4013,RJ 45 CAT6 UTP CONNECTOR 21978,10
Almacen - B,4014,RJ 45 CAT 5E UTP CONN 21975,67
Almacen - B,4015,TELEPHONE SOCKET 21252,9
Almacen - B,4025,COVER PLATE  SINGLE RJ45 70751,8
Almacen - B,4028,BLIND COVER PLATE 70677,3
Almacen - B,4040,SINGLE POLE SWITCH 37011 OPB,1
Almacen - B,4041,TWO CIRCUITS SWITCH 37061 OPB,24
Almacen - B,4042,TWO-WAY SWITCH 37071 OPB,19
Almacen - B,4043,DOUBLE 2-WAY SWITCH  37101 OPB,19
Almacen - B,4044,EARTH SOCKET SCHUKO 37131 OPB,7
Almacen - B,4047,TWO POLE SWITCH 48021 WD OPB,4
Almacen - B,4049,TWO WAY SWITCH 48071 OPB WD,9
Almacen - B,4050,EARTH SOCKET  48131 OPB  WD,3
Almacen - B,4051,TWO EARTH SOCKETS 48862 OPB WD,1
Almacen - C,0500,DUBB INBOUWDOOS H251 ABB,16
Almacen - C,0521,CENTRAALD 5/8 55mm GEL 165B,55
Almacen - C,0534,INBOUWDOOS DUBB WCD H140,14
Almacen - C,4006,PULL-CORD PUSH BUTTON 21092,13
Almacen - C,4007,DIMMER/ 2 WAY 320 WRC 21217,1
Almacen - C,4009,EARTH SOCKET ( USA TYPE) 21143,26
Almacen - C,4010,MONO DOUBLE EARTH SOCKET 70331,7
